date,unempl_part
1/1/1989,1444
2/1/1989,1304
3/1/1989,1143
4/1/1989,1340
5/1/1989,1226
6/1/1989,1369
7/1/1989,1255
8/1/1989,1253
9/1/1989,1366
10/1/1989,1336
11/1/1989,1364
12/1/1989,1377
1/1/1990,1331
2/1/1990,1368
3/1/1990,1290
4/1/1990,1334
5/1/1990,1339
6/1/1990,1321
7/1/1990,1415
8/1/1990,1436
9/1/1990,1380
10/1/1990,1382
11/1/1990,1390
12/1/1990,1431
1/1/1991,1414
2/1/1991,1393
3/1/1991,1609
4/1/1991,1485
5/1/1991,1583
6/1/1991,1564
7/1/1991,1523
8/1/1991,1526
9/1/1991,1560
10/1/1991,1579
11/1/1991,1611
12/1/1991,1631
1/1/1992,1656
2/1/1992,1607
3/1/1992,1627
4/1/1992,1559
5/1/1992,1693
6/1/1992,1725
7/1/1992,1732
8/1/1992,1709
9/1/1992,1771
10/1/1992,1666
11/1/1992,1709
12/1/1992,1838
1/1/1993,1697
2/1/1993,1691
3/1/1993,1653
4/1/1993,1673
5/1/1993,1587
6/1/1993,1669
7/1/1993,1573
8/1/1993,1586
9/1/1993,1620
10/1/1993,1699
11/1/1993,1626
12/1/1993,1535
1/1/1994,1561
2/1/1994,1481
3/1/1994,1585
4/1/1994,1510
5/1/1994,1517
6/1/1994,1431
7/1/1994,1451
8/1/1994,1535
9/1/1994,1424
10/1/1994,1433
11/1/1994,1381
12/1/1994,1504
1/1/1995,1522
2/1/1995,1457
3/1/1995,1442
4/1/1995,1539
5/1/1995,1522
6/1/1995,1514
7/1/1995,1589
8/1/1995,1470
9/1/1995,1480
10/1/1995,1497
11/1/1995,1444
12/1/1995,1474
1/1/1996,1465
2/1/1996,1465
3/1/1996,1455
4/1/1996,1443
5/1/1996,1492
6/1/1996,1384
7/1/1996,1494
8/1/1996,1447
9/1/1996,1363
10/1/1996,1388
11/1/1996,1367
12/1/1996,1483
1/1/1997,1408
2/1/1997,1464
3/1/1997,1394
4/1/1997,1408
5/1/1997,1349
6/1/1997,1267
7/1/1997,1300
8/1/1997,1349
9/1/1997,1323
10/1/1997,1293
11/1/1997,1299
12/1/1997,1272
1/1/1998,1326
2/1/1998,1288
3/1/1998,1381
4/1/1998,1199
5/1/1998,1206
6/1/1998,1258
7/1/1998,1259
8/1/1998,1288
9/1/1998,1296
10/1/1998,1415
11/1/1998,1319
12/1/1998,1264
1/1/1999,1272
2/1/1999,1215
3/1/1999,1185
4/1/1999,1216
5/1/1999,1258
6/1/1999,1278
7/1/1999,1188
8/1/1999,1084
9/1/1999,1259
10/1/1999,1173
11/1/1999,1201
12/1/1999,1179
1/1/2000,1136
2/1/2000,1214
3/1/2000,1217
4/1/2000,1092
5/1/2000,1247
6/1/2000,1146
7/1/2000,1221
8/1/2000,1148
9/1/2000,1116
10/1/2000,1077
11/1/2000,1114
12/1/2000,1123
1/1/2001,1203
2/1/2001,1209
3/1/2001,1195
4/1/2001,1298
5/1/2001,1113
6/1/2001,1246
7/1/2001,1235
8/1/2001,1285
9/1/2001,1136
10/1/2001,1374
11/1/2001,1380
12/1/2001,1401
1/1/2002,1284
2/1/2002,1233
3/1/2002,1305
4/1/2002,1314
5/1/2002,1368
6/1/2002,1244
7/1/2002,1384
8/1/2002,1413
9/1/2002,1336
10/1/2002,1296
11/1/2002,1273
12/1/2002,1341
1/1/2003,1393
2/1/2003,1400
3/1/2003,1411
4/1/2003,1410
5/1/2003,1428
6/1/2003,1512
7/1/2003,1412
8/1/2003,1434
9/1/2003,1525
10/1/2003,1403
11/1/2003,1289
12/1/2003,1334
1/1/2004,1426
2/1/2004,1321
3/1/2004,1403
4/1/2004,1395
5/1/2004,1311
6/1/2004,1449
7/1/2004,1375
8/1/2004,1397
9/1/2004,1308
10/1/2004,1470
11/1/2004,1396
12/1/2004,1369
1/1/2005,1359
2/1/2005,1440
3/1/2005,1441
4/1/2005,1387
5/1/2005,1472
6/1/2005,1392
7/1/2005,1430
8/1/2005,1342
9/1/2005,1414
10/1/2005,1409
11/1/2005,1492
12/1/2005,1377
1/1/2006,1236
2/1/2006,1369
3/1/2006,1334
4/1/2006,1323
5/1/2006,1337
6/1/2006,1381
7/1/2006,1364
8/1/2006,1320
9/1/2006,1345
10/1/2006,1323
11/1/2006,1327
12/1/2006,1242
1/1/2007,1279
2/1/2007,1302
3/1/2007,1179
4/1/2007,1344
5/1/2007,1263
6/1/2007,1240
7/1/2007,1312
8/1/2007,1245
9/1/2007,1235
10/1/2007,1287
11/1/2007,1347
12/1/2007,1449
1/1/2008,1431
2/1/2008,1301
3/1/2008,1366
4/1/2008,1314
5/1/2008,1437
6/1/2008,1455
7/1/2008,1505
8/1/2008,1522
9/1/2008,1583
10/1/2008,1542
11/1/2008,1627
12/1/2008,1663
1/1/2009,1647
2/1/2009,1648
3/1/2009,1671
4/1/2009,1734
5/1/2009,1728
6/1/2009,1720
7/1/2009,1797
8/1/2009,1806
9/1/2009,1902
10/1/2009,1798
11/1/2009,1674
12/1/2009,1795
1/1/2010,1907
2/1/2010,1825
3/1/2010,1957
4/1/2010,1889
5/1/2010,1892
6/1/2010,1802
7/1/2010,1867
8/1/2010,1989
9/1/2010,1797
10/1/2010,1838
11/1/2010,1721
12/1/2010,1774
1/1/2011,1794
2/1/2011,1867
3/1/2011,1832
4/1/2011,1834
5/1/2011,1830
6/1/2011,1971
7/1/2011,1777
8/1/2011,1893
9/1/2011,1767
10/1/2011,1882
11/1/2011,1754
12/1/2011,1825
1/1/2012,1746
2/1/2012,1768
3/1/2012,1765
4/1/2012,1846
5/1/2012,1826
6/1/2012,1877
7/1/2012,1950
