,loss,val_loss
0,0.0009940936,0.00047899305
1,0.00015288993,0.00018405901
2,0.00010791834,0.00011189241
3,8.3985586e-05,0.00011677324
4,6.983881e-05,0.00014341665
5,6.894534e-05,0.000101578815
6,6.5170134e-05,0.00017279555
7,6.9555404e-05,0.0001235698
8,6.491531e-05,0.00015609372
9,6.0956067e-05,0.0001330076
10,6.4791355e-05,0.00011668529
11,6.075129e-05,0.00012022444
12,6.0503866e-05,9.918661e-05
13,6.332168e-05,0.00013189956
14,6.541806e-05,0.000120663935
15,5.6388963e-05,0.00010262037
16,5.4293447e-05,9.8722245e-05
17,6.0900024e-05,0.00011285832
18,5.0368642e-05,0.0001106298
19,5.5523895e-05,8.240267e-05
20,5.628788e-05,0.00010015113
21,4.9362465e-05,0.000110352885
22,5.2249812e-05,8.546487e-05
23,5.3026244e-05,9.1740985e-05
24,5.2618878e-05,9.824792e-05
25,4.820923e-05,8.270984e-05
26,5.062275e-05,8.304246e-05
27,5.315049e-05,9.475383e-05
28,5.251159e-05,8.232793e-05
29,4.798358e-05,9.36172e-05
30,5.0453113e-05,8.244991e-05
31,4.7415797e-05,8.4373045e-05
32,4.540887e-05,7.885308e-05
33,4.5123787e-05,8.41176e-05
34,4.993245e-05,8.766188e-05
35,4.5589022e-05,8.466837e-05
36,4.4192308e-05,8.474212e-05
37,4.22542e-05,9.223064e-05
38,4.352907e-05,8.4089654e-05
39,4.3761174e-05,7.905773e-05
40,4.3828488e-05,8.291478e-05
41,4.2794403e-05,7.4221236e-05
42,4.2141142e-05,8.24001e-05
43,4.2755408e-05,7.5179945e-05
44,4.2413965e-05,7.897274e-05
45,4.2592095e-05,8.9835965e-05
46,4.1699022e-05,7.459039e-05
47,4.0143328e-05,8.718736e-05
48,4.1652864e-05,7.387952e-05
49,4.063284e-05,7.478908e-05
50,3.951397e-05,7.915747e-05
51,3.886045e-05,7.7283534e-05
52,3.853097e-05,8.177122e-05
53,3.8824124e-05,7.259401e-05
54,3.8725604e-05,7.516441e-05
55,3.7850783e-05,7.579943e-05
56,3.7429356e-05,7.857546e-05
57,3.803012e-05,7.204209e-05
58,3.6552807e-05,7.762577e-05
59,3.6944864e-05,7.616582e-05
60,3.595011e-05,7.400381e-05
61,3.566923e-05,7.6586e-05
62,3.5535755e-05,7.8220386e-05
63,3.4862514e-05,7.853727e-05
64,3.423524e-05,7.845701e-05
65,3.5735196e-05,7.8375786e-05
66,3.3814606e-05,7.919698e-05
67,3.4126577e-05,7.485038e-05
68,3.3279688e-05,7.577528e-05
69,3.39229e-05,7.9603116e-05
70,3.264602e-05,8.067806e-05
71,3.2421598e-05,7.852188e-05
72,3.225323e-05,8.844441e-05
73,3.1421252e-05,8.047941e-05
74,3.1764153e-05,8.218599e-05
75,3.1509695e-05,7.703128e-05
76,2.9673614e-05,8.326628e-05
77,3.0374644e-05,8.219753e-05
78,2.9916304e-05,7.687551e-05
79,3.05186e-05,7.56669e-05
80,2.9275036e-05,7.840546e-05
81,2.9973431e-05,8.180164e-05
82,2.9279236e-05,7.733352e-05
83,2.8643053e-05,7.877651e-05
84,2.7838658e-05,7.611214e-05
85,2.7983426e-05,8.5336294e-05
86,2.8131548e-05,8.618585e-05
87,2.7132308e-05,8.3071674e-05
88,2.6518228e-05,8.3208746e-05
89,2.6853264e-05,8.723621e-05
90,2.5199286e-05,8.760172e-05
91,2.6163278e-05,9.739555e-05
92,2.5550684e-05,9.1917216e-05
93,2.4935738e-05,9.5995114e-05
94,2.4059493e-05,0.000101548474
95,2.3500243e-05,9.3832205e-05
96,2.3036064e-05,0.000101455196
97,2.288655e-05,0.00010020576
98,2.3155528e-05,9.7763885e-05
99,2.216218e-05,0.00010273093
